Kabupaten/Kota,Latitude,Longitude
Ogan Komering Ilir,-3.36667,105.36667
Muara Enim,-4.2327,103.6141
Lahat,-3.7864,103.5428
Musi Rawas,-3.08333,103.2
Musi Banyuasin,-2.41667,103.75
Banyu Asin,-2.88333,104.38306
Ogan Komering Ulu Selatan,-4.65728,104.00659
Ogan Komering Ulu Timur,-3.85679,104.75209
Ogan Ilir,-3.43186,104.62727
Empat Lawang,3.22667,99.09256
Penukal Abab Lematang Ilir,-3.21342,104.08722
Musi Rawas Utara,-2.48533,103.29346
Kota Palembang,-3.0,104.71667
Kota Prabumulih,-3.46202,104.2229
Kota Pagar Alam,-4.13055,103.26822
Kota Lubuklinggau,-3.29308,102.85503
Medan,3.65,98.66667
Langkat,3.71667,98.21667
Deli Serdang,3.41667,98.66667
Asahan,2.78333,99.55
Nias Selatan,0.77,97.75
Serdang Bedagai,3.36667,99.03333
Tapanuli Tengah,1.9,98.66667
Batu Bara,3.16166,99.52652
Mandailing Natal,0.78378,99.25495
Labuhan Batu,2.26667,100.1
Nias Utara,1.33037,97.31964
Labuanbatu Utara,2.33349,99.63776
Karo,3.11667,98.3
Labuhanbatu Selatan,1.983,100.0976
Tapanuli Utara,2.0028,99.0707
Gunungsitoli,1.32731,97.55018
Tapanuli Selatan,1.51667,99.25
Padang Lawas Utara,1.46011,99.67346
Dairi,2.86667,98.23333
Nias,1.03333,97.76667
Tanjungbalai,2.95833,99.79167
Pematangsiantar,2.96667,99.05
Padang Lawas,1.44684,99.99207
Nias Barat,1.05966,97.58606
Humbang Hasundutan,2.26551,98.50376
Tebing Tinggi,3.325,99.14167
Padangsidimpuan,1.37375,99.26843
Samosir,2.64025,98.71525
Binjai,3.8,108.23333
Sibolga,1.73333,98.8
Simalungun,2.9,99.0
Pakpak Bharat,2.56667,98.28333
